Generator loss,Critic loss,Gradient Penalty loss
-3.9271297,-0.2530026,0.035644785
-3.2453206,-0.109725565,0.05280113
-2.0050797,-0.005320266,0.04050226
-5.31784,-0.011022083,0.042750534
-1.4616281,-0.10206674,0.0635027
-1.8311986,-0.14835085,0.09906792
-2.8826623,-0.03167087,0.05638203
-1.5623267,0.0068309456,0.1280421
-2.416986,-0.32813305,0.08174144
-4.1218443,-0.11943455,0.06344642
-2.0147552,-0.07409238,0.094323725
-2.1627765,-0.01007246,0.071373716
-1.9304322,-0.17877895,0.04694659
-2.7688498,-0.3862762,0.06713605
-2.8402798,-0.123710886,0.047024578
-3.6862965,-0.23366772,0.04219976
-1.0438986,-0.12894103,0.05400078
-4.627109,-0.11000377,0.05682595
-3.2636023,-0.16838947,0.047926802
-2.6460302,-0.11669408,0.04941103
-2.5167785,-0.3611453,0.043423694
-1.3285517,-0.22823772,0.045600533
-1.4432203,-0.18054026,0.04580365
-3.2955277,-0.13515465,0.049871188
-4.430657,-0.11861294,0.038616657
-3.1243358,-0.014086734,0.04089461
-2.6898198,-0.16756521,0.04216508
-2.9578362,-0.084728554,0.0498559
-1.8746113,-0.16086708,0.031611115
-2.245219,-0.1282331,0.08936008
-4.628865,-0.13717143,0.035072587
-1.5720632,-0.088223934,0.046682894
-2.8622913,-0.2791011,0.14655346
-2.1427362,-0.26317558,0.03934458
-4.6266747,-0.023954418,0.06051731
-0.77270913,0.02904795,0.05066871
-4.0784535,-0.1375892,0.055988945
-3.4899697,-0.17380688,0.0849463
-1.0416725,-0.10346768,0.04934749
-2.5583122,-0.22149293,0.04431393
-1.09244,-0.122446686,0.05384854
-3.2412455,-0.10787619,0.04602849
-3.438153,-0.1291892,0.05037633
0.17338687,-0.012190619,0.037897628
-3.596536,-0.15595147,0.04280915
-2.7945795,-0.18019845,0.040444925
-1.8338821,-0.21610871,0.03877579
0.11750871,-0.115570016,0.039005924
0.26550657,0.083174944,0.23137635
-1.9492698,-0.17479917,0.04612615
0.7123912,-0.1689014,0.03741979
-1.9532502,-0.16214596,0.04672151
-1.7280116,-0.12994884,0.03900419
